case,configuration,source_allocation,heating_MWh,cooling_MWh,annual_transmitted_solar_MWh,maximum_balance_residual_W,lower_cooling,lower_heating,upper_cooling,upper_heating,bounds_valid,heating_in_range,cooling_in_range,both_in_range,D_MWh_norm
680,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,2.6099446841789145,6.667202956267857,11.75195606191516,9.094947017729282e-13,5.13,1.21,7.7,3.08,True,True,True,True,0.0
685,F36-like,native VDI area allocation,5.098299739371724,8.497263428416122,11.75195606191516,9.094947017729282e-13,7.7,4.08,10.14,5.75,True,True,True,True,0.0
685,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,5.091205907011479,8.572252082482633,11.75195606191516,9.094947017729282e-13,7.7,4.08,10.14,5.75,True,True,True,True,0.0
695,F36-like,native VDI area allocation,3.008864065690992,9.156863212630503,11.75195606191516,9.094947017729282e-13,7.49,1.7,10.58,3.81,True,True,True,True,0.0
695,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,3.0075405078309077,9.208099228520942,11.75195606191516,9.094947017729282e-13,7.49,1.7,10.58,3.81,True,True,True,True,0.0
900,F36-like,native VDI area allocation,2.2720127275966107,2.54478437067725,11.75195606191516,4.547473508864641e-13,2.35,1.04,2.6,2.28,True,True,True,True,0.0
900,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,2.2596759308253356,2.5962457440054747,11.75195606191516,4.547473508864641e-13,2.35,1.04,2.6,2.28,True,True,True,True,0.0
910,F36-like,native VDI area allocation,2.7135005449361764,1.9636183842045474,9.871643092008735,4.547473508864641e-13,2.0,1.56,0.86,2.3,False,,,,
910,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,2.697452238889412,1.9980293235180335,9.871643092008735,4.547473508864641e-13,2.0,1.56,0.86,2.3,False,,,,
920,F36-like,native VDI area allocation,3.7686165426480835,2.6856568834122463,8.975555403986599,4.547473508864641e-13,2.43,2.55,3.08,4.2,True,True,True,True,0.0
920,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,3.7494311373386644,2.7202642294655552,8.975555403986599,4.547473508864641e-13,2.43,2.55,3.08,4.2,True,True,True,True,0.0
930,F36-like,native VDI area allocation,4.2695744088269905,1.967099598237229,6.947887682671987,4.547473508864641e-13,1.24,2.75,2.64,5.35,True,True,True,True,0.0
930,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,4.252329155737839,1.9916467527584998,6.947887682671987,4.547473508864641e-13,1.24,2.75,2.64,5.35,True,True,True,True,0.0
940,F36-like,native VDI area allocation,1.456590044516138,2.5148273550986415,11.75195606191516,4.547473508864641e-13,2.24,0.22,3.14,1.91,True,True,True,True,0.0
940,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,1.4299493979241102,2.5616438834797597,11.75195606191516,4.547473508864641e-13,2.24,0.22,3.14,1.91,True,True,True,True,0.0
950,F36-like,native VDI area allocation,0.0,0.9013686364550546,11.75195606191516,7.275957614183426e-12,0.43,0.0,1.52,0.0,True,True,True,True,0.0
950,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,0.0,0.9440673104107109,11.75195606191516,7.275957614183426e-12,0.43,0.0,1.52,0.0,True,True,True,True,0.0
980,F36-like,native VDI area allocation,0.6118194604362691,3.7964558894094687,11.75195606191516,4.547473508864641e-13,3.52,-0.61,4.49,1.28,True,True,True,True,0.0
980,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,0.612786804931683,3.849545512884857,11.75195606191516,4.547473508864641e-13,3.52,-0.61,4.49,1.28,True,True,True,True,0.0
985,F36-like,native VDI area allocation,2.625261177402637,6.018002572497742,11.75195606191516,4.547473508864641e-13,5.95,1.68,7.26,3.09,True,True,True,True,0.0
985,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,2.6263714190486613,6.101314067202176,11.75195606191516,4.547473508864641e-13,5.95,1.68,7.26,3.09,True,True,True,True,0.0
995,F36-like,native VDI area allocation,0.9882884488244676,7.119199262039226,11.75195606191516,4.547473508864641e-13,6.58,-0.15,8.41,2.02,True,True,True,True,0.0
995,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,0.9977717028146734,7.1816464796190385,11.75195606191516,4.547473508864641e-13,6.58,-0.15,8.41,2.02,True,True,True,True,0.0
