scope,name,loading,boundary_kind,area_m2,selected_loading_period_days,r1_k_w,r2_k_w,r3_k_w,c1_j_k,c2_j_k,c1_effective_j_k,layers_room_to_outside,variable_name,notes
room,r_rest_aw_k_w,,,,,0.009937788978967247,,,,,,,PreparedVDI6007Model.residual_aw_resistance.r_rest_aw_k_w,
room,room_side_parallel_resistance_k_w,,,,,0.0010052271813429836,,,,,,,PreparedVDI6007Model.residual_aw_resistance.room_side_parallel_resistance_k_w,
room,outside_surface_resistance_k_w,,,,,,,,,,,,PreparedVDI6007Model.residual_aw_resistance.outside_surface_resistance_k_w,
room,correction_applied,,,,,,,,False,,,,PreparedVDI6007Model.residual_aw_resistance.correction_applied,
room,numerical_floor_applied,,,,,,,,,,,,PreparedVDI6007Model.residual_aw_resistance.numerical_floor_applied,
room,resistance_k_w,,,,,0.0020833333333333333,,,,,,,PreparedVDI6007Model.radiative_resistance.resistance_k_w,
room,selected_equation,,,,,,,,,,,,PreparedVDI6007Model.radiative_resistance.selected_equation,
room,limiting_area_m2,,,,,,,,,,,,PreparedVDI6007Model.radiative_resistance.limiting_area_m2,
room,alpha_radiative_w_m2k,,,,,,,,,,,,PreparedVDI6007Model.radiative_resistance.alpha_radiative_w_m2k,
room,alpha_convective_w_m2k,,,,,,,,,,,,PreparedVDI6007Model.radiative_resistance.alpha_convective_w_m2k,
room,r_conv_aw_k_w,,,,,0.0019425019425019427,,,,,,,PreparedVDI6007Model.delta_network.r_conv_aw_k_w,
room,r_conv_iw_k_w,,,,,0.003472222222222222,,,,,,,PreparedVDI6007Model.delta_network.r_conv_iw_k_w,
room,r_rad_aw_iw_k_w,,,,,0.0020833333333333333,,,,,,,PreparedVDI6007Model.delta_network.r_rad_aw_iw_k_w,
room,r_star_air_k_w,,,,,0.0008995394358088658,,,,,,,PreparedVDI6007Model.star_network.r_star_air_k_w,
room,r_star_aw_k_w,,,,,0.0005397236614853195,,,,,,,PreparedVDI6007Model.star_network.r_star_aw_k_w,
room,r_star_iw_k_w,,,,,0.0009647560449050085,,,,,,,PreparedVDI6007Model.star_network.r_star_iw_k_w,
room,denominator_k_w,,,,,,,,,,,,PreparedVDI6007Model.star_network.denominator_k_w,
room,radiant_mean_coefficient,,,,,0.7303002800832775,,,,,,,PreparedVDI6007Model.aw_coefficients.radiant_mean_coefficient,
room,radiant_history_retention,,,,,0.1021109386239709,,,,,,,PreparedVDI6007Model.aw_coefficients.radiant_history_retention,
room,radiant_endpoint_coefficient,,,,,0.19739152922447792,,,,,,,PreparedVDI6007Model.aw_coefficients.radiant_endpoint_coefficient,
room,indoor_temperature_mean_coefficient_w_k,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.indoor_temperature_mean_coefficient_w_k,
room,indoor_temperature_history_retention,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.indoor_temperature_history_retention,
room,indoor_temperature_endpoint_coefficient_w_k,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.indoor_temperature_endpoint_coefficient_w_k,
room,exterior_temperature_mean_coefficient_w_k,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.exterior_temperature_mean_coefficient_w_k,
room,exterior_temperature_history_retention,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.exterior_temperature_history_retention,
room,exterior_temperature_endpoint_coefficient_w_k,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.exterior_temperature_endpoint_coefficient_w_k,
room,decay,,,,,,,,,,,,PreparedVDI6007Model.aw_coefficients.decay,
room,radiant_mean_coefficient,,,,,0.518861880281709,,,,,,,PreparedVDI6007Model.iw_coefficients.radiant_mean_coefficient,
room,radiant_history_retention,,,,,0.8523540392776019,,,,,,,PreparedVDI6007Model.iw_coefficients.radiant_history_retention,
room,radiant_endpoint_coefficient,,,,,0.07103809992597528,,,,,,,PreparedVDI6007Model.iw_coefficients.radiant_endpoint_coefficient,
room,air_mean_coefficient_w_k,,,,,,,,,,,,PreparedVDI6007Model.iw_coefficients.air_mean_coefficient_w_k,
room,air_history_retention,,,,,,,,,,,,PreparedVDI6007Model.iw_coefficients.air_history_retention,
room,air_endpoint_coefficient_w_k,,,,,,,,,,,,PreparedVDI6007Model.iw_coefficients.air_endpoint_coefficient_w_k,
room,exponent_z,,,,,,,,,,,,PreparedVDI6007Model.iw_coefficients.exponent_z,
room,decay_factor,,,,,,,,,,,,PreparedVDI6007Model.iw_coefficients.decay_factor,
room,ventilation conductance/resistance current,,,,,0.05563522519803915,,,,,,,VDI6007HourlyInput.ventilation_resistance_k_w,flow=0.014904000 m3/s; conductance=17.974224000 W/K
room,ventilation conductance/resistance corrected ACH,,,,,0.04606596646397642,,,,,,,VDI6007HourlyInput.ventilation_resistance_k_w,flow=0.018000000 m3/s; conductance=21.708000000 W/K
